SKU,SKU Type,Country Seller,Domain Name,URL,Country Monitored,Review Date,Seller ID & Contract Details,Vat,Phone Number,Email Address,Physical Address,Correct Image,Naming,SKU,Product Name,Compatible Printers,Co-operation,Avoid Customer Confusion,Grey Trade,Shopping Experience
C2P04AE,A-SKU Ink,Spain,www.nucleodigital.com,https://www.nucleodigital.com/producto/cartucho-de-tinta-original-hp-62-negro-c2p04ae/,Spain,9/24/2020,1,0,1,1,0,1,1,1,1,1,1,1,1,1
CN684EE,A-SKU Ink,Spain,www.nucleodigital.com,https://www.nucleodigital.com/producto/cn684ee-cartucho-de-tinta-negra-hp-364xl/,Spain,9/24/2020,1,0,1,1,0,1,1,1,1,1,1,1,1,1
CF244A,A-SKU Toner,Spain,www.tutonerbarato.com,N/A,Spain,9/24/2020,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,1,N/A,1,0
CF226A,A-SKU Toner,Spain,www.tutonerbarato.com,N/A,Spain,9/24/2020,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,1,N/A,1,0
CF217A,A-SKU Toner,Spain,www.tutonerbarato.com,N/A,Spain,9/24/2020,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,1,N/A,1,0
CF410A,A-SKU Toner,Spain,www.tutonerbarato.com,N/A,Spain,9/24/2020,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,1,N/A,1,0
CF540A,A-SKU Toner,Spain,www.tutonerbarato.com,N/A,Spain,9/24/2020,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,1,N/A,1,0
CH561EE,A-SKU Ink,Spain,www.tutonerbarato.com,https://www.tutonerbarato.com/deskjet-3050se/4872-cartucho-de-tinta-original-hp-301-negro-ch561ee.html?search_query=CH561EE&results=2,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,0
N9K06AE,A-SKU Ink,Spain,www.tutonerbarato.com,N/A,Spain,9/24/2020,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,1,1,1,0
F6U66AE,A-SKU Ink,Spain,www.tutonerbarato.com,N/A,Spain,9/24/2020,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,1,1,1,0
C2P04AE,A-SKU Ink,Spain,www.tutonerbarato.com,N/A,Spain,9/24/2020,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,1,1,1,0
CN684EE,A-SKU Ink,Spain,www.tutonerbarato.com,N/A,Spain,9/24/2020,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,1,1,1,0
CF244A,A-SKU Toner,United Kingdom,cartridgeworld.co.uk,https://www.cartridgeworld.co.uk/hp-44a-black-original-laserjet-toner-cartridge-1-pc-s.html,United Kingdom,9/23/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF226A,A-SKU Toner,United Kingdom,cartridgeworld.co.uk,https://www.cartridgeworld.co.uk/hp-26a-original-black-1-pc-s.html,United Kingdom,9/23/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CF217A,A-SKU Toner,United Kingdom,cartridgeworld.co.uk,https://www.cartridgeworld.co.uk/hp-17a-original-black-1-pc-s.html,United Kingdom,9/23/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CF410A,A-SKU Toner,United Kingdom,cartridgeworld.co.uk,https://www.cartridgeworld.co.uk/hp-410a-original-black-1-pc-s.html,United Kingdom,9/23/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CF540A,A-SKU Toner,United Kingdom,cartridgeworld.co.uk,https://www.cartridgeworld.co.uk/hp-203a-original-black-1-pc-s.html,United Kingdom,9/23/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CH561EE,A-SKU Ink,United Kingdom,cartridgeworld.co.uk,https://www.cartridgeworld.co.uk/hp-301-original-photo-black-1-pc-s.html,United Kingdom,9/23/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
N9K06AE,A-SKU Ink,United Kingdom,cartridgeworld.co.uk,https://www.cartridgeworld.co.uk/hp-304-original-black.html,United Kingdom,9/23/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6U66AE,A-SKU Ink,United Kingdom,cartridgeworld.co.uk,https://www.cartridgeworld.co.uk/hp-302-original-black-1-pc-s.html,United Kingdom,9/23/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C2P04AE,A-SKU Ink,United Kingdom,cartridgeworld.co.uk,https://www.cartridgeworld.co.uk/hp-62-original-black.html,United Kingdom,9/23/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CN684EE,A-SKU Ink,United Kingdom,cartridgeworld.co.uk,https://www.cartridgeworld.co.uk/hp-364xl-original-black-1-pc-s.html,United Kingdom,9/23/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF244A,A-SKU Toner,United Kingdom,crazykangaroo.com,N/A,United Kingdom,9/23/2020,0,0,0,1,1,N/A,N/A,N/A,N/A,N/A,1,N/A,1,1
CF226A,A-SKU Toner,United Kingdom,crazykangaroo.com,N/A,United Kingdom,9/23/2020,0,0,0,1,1,N/A,N/A,N/A,N/A,N/A,1,N/A,1,1
CF217A,A-SKU Toner,United Kingdom,crazykangaroo.com,N/A,United Kingdom,9/23/2020,0,0,0,1,1,N/A,N/A,N/A,N/A,N/A,1,N/A,1,1
CF410A,A-SKU Toner,United Kingdom,crazykangaroo.com,N/A,United Kingdom,9/23/2020,0,0,0,1,1,N/A,N/A,N/A,N/A,N/A,1,N/A,1,1
CF540A,A-SKU Toner,United Kingdom,crazykangaroo.com,N/A,United Kingdom,9/23/2020,0,0,0,1,1,N/A,N/A,N/A,N/A,N/A,1,N/A,1,1
CH561EE,A-SKU Ink,United Kingdom,crazykangaroo.com,https://www.crazykangaroo.com/hp-original-301-black-ink-cartridge-ch561ee-ch,United Kingdom,9/23/2020,0,0,0,1,1,1,1,1,1,1,1,1,1,1
N9K06AE,A-SKU Ink,United Kingdom,crazykangaroo.com,https://www.crazykangaroo.com/hp-original-304-black-ink-cartridge-n9k06ae-ch,United Kingdom,9/23/2020,0,0,0,1,1,1,1,1,1,1,1,1,1,1
F6U66AE,A-SKU Ink,United Kingdom,crazykangaroo.com,https://www.crazykangaroo.com/hp-original-302-black-ink-cartridge-f6u66ae-ch,United Kingdom,9/23/2020,0,0,0,1,1,1,1,1,1,1,1,1,1,1
